session_date,session_high,session_low,poc,vah,val,total_volume,prior_rth_vah,prior_rth_val,prior_rth_poc,prior_rth_high,prior_rth_low,overnight_vah,overnight_val,overnight_poc,overnight_high,overnight_low,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,normalized_volume,prior_vah,prior_val,prior_poc,prior_high,prior_low,prior_normalized_volume
2025-05-19,21562.25,21354.0,21412.0,21482.25,21385.5,1214271,,,,,,21459.0,21383.25,21431.75,21562.25,21354.0,21435.0,21377.0,58.0,21404.75,21517.5,21545.5,21377.0,0.942558737726477,21353.75,21152.25,21203.5,21462.75,21112.25,0.578059316502407
2025-05-20,21473.75,21229.5,21413.5,21447.0,21341.25,1250348,21542.75,21435.25,21494.25,21545.5,21377.0,21423.0,21315.5,21381.75,21444.0,21229.5,21451.25,21381.5,69.75,21394.0,21419.0,21473.75,21298.0,0.9705629407264318,21482.25,21385.5,21412.0,21562.25,21354.0,0.942558737726477
2025-05-21,21558.5,21039.25,21197.25,21319.75,21092.5,1810779,21452.0,21377.75,21421.5,21473.75,21298.0,21252.5,21136.5,21197.25,21330.25,21039.25,21535.5,21372.0,163.5,21383.5,21145.25,21558.5,21071.75,1.4055886771088268,21447.0,21341.25,21413.5,21473.75,21229.5,0.9705629407264318
2025-05-22,21337.75,20727.5,21253.0,21337.75,20939.75,1610723,21558.5,21227.5,21515.5,21558.5,21071.75,21231.5,20873.0,21169.5,21236.25,20727.5,21269.25,21166.5,102.75,21233.5,21214.25,21337.75,21166.25,1.2502983581976381,21319.75,21092.5,21197.25,21558.5,21039.25,1.4055886771088268
2025-05-23,21083.75,20883.75,20967.25,21032.75,20918.75,736618,21302.0,21222.5,21253.0,21337.75,21166.25,,,,,,20988.25,20883.75,104.5,20943.75,20953.25,21083.75,20883.75,0.5717881200050088,21337.75,20939.75,21253.0,21337.75,20727.5,1.2502983581976381
2025-05-25,21307.75,20955.25,21273.5,21288.25,21190.75,323108,21032.75,20918.75,20967.25,21083.75,20883.75,21288.25,21190.75,21273.5,21307.75,20955.25,,,,,,,,0.2508074957149817,21032.75,20918.75,20967.25,21083.75,20883.75,0.5717881200050088
2025-05-26,21383.5,21142.0,21272.75,21331.0,21206.75,677703,,,,,,21337.0,21206.75,21237.5,21383.5,21142.0,21269.0,21215.5,53.5,21268.25,21284.5,21296.25,21215.5,0.5260562792271631,21288.25,21190.75,21273.5,21307.75,20955.25,0.2508074957149817
2025-05-27,21564.75,21348.25,21467.75,21505.5,21410.25,1064888,21032.75,20918.75,20967.25,21083.75,20883.75,21510.25,21438.25,21467.5,21564.75,21407.0,21400.75,21348.25,52.5,21369.5,21477.5,21488.25,21348.25,0.8266025369131542,21331.0,21206.75,21272.75,21383.5,21142.0,0.5260562792271631
2025-05-28,21858.75,21320.0,21461.75,21661.25,21349.0,1546497,21480.25,21398.0,21449.0,21488.25,21348.25,21848.25,21546.0,21792.75,21858.75,21380.25,21477.5,21426.25,51.25,21456.0,21525.0,21528.75,21320.0,1.200443937323533,21505.5,21410.25,21467.75,21564.75,21348.25,0.8266025369131542
2025-05-29,21522.0,21226.0,21376.75,21439.25,21316.0,1455614,21489.0,21438.5,21467.75,21528.75,21320.0,21388.0,21315.0,21350.5,21421.5,21226.0,21522.0,21430.25,91.75,21456.0,21384.5,21522.0,21301.0,1.1298974400747346,21661.25,21349.0,21461.75,21858.75,21320.0,1.200443937323533
2025-05-30,21433.25,21071.5,21369.0,21415.0,21195.75,947758,21470.5,21367.5,21433.25,21522.0,21301.0,,,,,,21399.5,21318.25,81.25,21384.5,21369.0,21433.25,21071.5,0.7356822193317393,21439.25,21316.0,21376.75,21522.0,21226.0,1.1298974400747346
2025-06-01,21458.0,21163.0,21307.75,21329.5,21217.5,642478,21415.0,21195.75,21369.0,21433.25,21071.5,21329.5,21217.5,21307.75,21458.0,21163.0,,,,,,,,0.49871342780732764,21415.0,21195.75,21369.0,21433.25,21071.5,0.7356822193317393
2025-06-02,21638.75,21349.0,21519.25,21629.0,21440.5,1085289,,,,,,21630.5,21489.5,21521.5,21638.75,21398.25,21418.75,21349.0,69.75,21379.0,21554.75,21576.75,21349.0,0.8424384918263144,21329.5,21217.5,21307.75,21458.0,21163.0,0.49871342780732764
2025-06-03,21793.5,21584.0,21703.75,21737.75,21664.0,1153219,21492.0,21349.0,21428.0,21576.75,21349.0,21745.0,21678.5,21703.75,21793.5,21641.0,21686.5,21584.0,102.5,21621.25,21688.0,21759.75,21584.0,0.8951680843585905,21629.0,21440.5,21519.25,21638.75,21349.0,0.8424384918263144
2025-06-04,21899.0,21691.75,21752.5,21791.0,21729.75,1148353,21725.75,21652.25,21702.0,21759.75,21584.0,21796.75,21720.75,21751.0,21899.0,21691.75,21784.75,21705.0,79.75,21743.75,21747.5,21802.75,21705.0,0.8913909285031208,21737.75,21664.0,21703.75,21793.5,21584.0,0.8951680843585905
2025-06-05,21936.25,21471.0,21817.5,21868.0,21640.75,1603369,21792.75,21742.75,21771.5,21802.75,21705.0,21863.5,21665.0,21817.5,21863.5,21471.0,21925.0,21700.75,224.25,21801.75,21513.5,21936.25,21503.5,1.2445899315307405,21791.0,21729.75,21752.5,21899.0,21691.75,0.8913909285031208
2025-06-06,21880.0,21721.5,21814.25,21849.75,21783.25,642432,21844.0,21563.75,21701.25,21936.25,21503.5,,,,,,21870.25,21735.75,134.5,21784.5,21809.75,21880.0,21721.5,0.4986777210318752,21868.0,21640.75,21817.5,21936.25,21471.0,1.2445899315307405
2025-06-08,21866.75,21716.5,21807.25,21815.5,21746.75,476926,21849.75,21783.25,21814.25,21880.0,21721.5,21815.5,21746.75,21807.25,21866.75,21716.5,,,,,,,,0.37020629542246974,21849.75,21783.25,21814.25,21880.0,21721.5,0.4986777210318752
2025-06-09,21973.5,21732.0,21853.0,21875.5,21824.5,1080939,,,,,,21881.5,21809.75,21858.5,21973.5,21732.0,21892.5,21813.25,79.25,21852.5,21821.5,21892.5,21796.5,0.8390618728433112,21815.5,21746.75,21807.25,21866.75,21716.5,0.37020629542246974
2025-06-10,22094.0,21743.0,21900.25,21988.25,21860.5,1297799,21873.5,21833.5,21866.25,21892.5,21796.5,22004.5,21892.0,21972.5,22094.0,21866.25,21889.5,21844.25,45.25,21873.0,21951.5,21992.25,21743.0,1.0073960320741286,21875.5,21824.5,21853.0,21973.5,21732.0,0.8390618728433112
2025-06-11,22066.75,21716.5,21865.5,21931.0,21748.5,1538327,21940.75,21825.0,21872.0,21992.25,21743.0,21881.25,21779.75,21835.0,21931.0,21716.5,22066.75,21985.75,81.0,22038.5,21882.75,22066.75,21790.25,1.1941021035094788,21988.25,21860.5,21900.25,22094.0,21743.0,1.0073960320741286
2025-06-12,21977.5,21470.5,21940.25,21977.5,21646.5,1488961,21994.5,21823.0,21862.0,22066.75,21790.25,21704.75,21522.75,21651.5,21920.0,21470.5,21977.5,21881.75,95.75,21920.5,21908.25,21977.5,21881.75,1.1557825235750117,21931.0,21748.5,21865.5,22066.75,21716.5,1.1941021035094788
