session_date,prior_rth_vah,prior_rth_val,prior_rth_poc,overnight_vah,overnight_val,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,day_classification,pre_ib_total,pre_ib_A,pre_ib_A_star,pre_ib_R,pre_ib_B,post_ib_total,post_ib_A,post_ib_A_star,post_ib_R,post_ib_B
2025-06-10,21873.5,21833.5,21866.25,22004.5,21892.0,21889.5,21844.25,45.25,21873.0,21951.5,21992.25,21743.0,above_value,7,0,0,3,4,8,1,0,3,4
2025-06-11,21940.75,21825.0,21872.0,21881.25,21779.75,22066.75,21985.75,81.0,22038.5,21882.75,22066.75,21790.25,within_value,3,1,0,1,1,4,1,0,1,2
2025-06-12,21994.5,21823.0,21862.0,21704.75,21522.75,21977.5,21881.75,95.75,21920.5,21908.25,21977.5,21881.75,within_value,3,0,0,1,2,1,0,0,0,1
2025-06-13,21948.5,21911.25,21940.25,,,21807.5,21621.25,186.25,21627.25,21654.0,21855.75,21601.25,below_value,1,0,0,0,1,9,0,0,4,5
2025-06-15,21781.75,21613.5,21655.25,21855.25,21593.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-16,,,,22091.75,22030.25,21996.5,21947.0,49.5,21973.25,21935.5,21996.5,21910.5,unknown,3,1,0,1,1,19,0,0,9,10
2025-06-17,21967.5,21928.5,21943.25,22034.25,21955.0,22136.5,22067.25,69.25,22102.5,21953.25,22136.5,21908.0,within_value,1,0,0,0,1,2,1,0,0,1
2025-06-18,22088.0,21911.25,21961.25,21905.5,21739.25,22098.75,22041.25,57.5,22073.0,21961.25,22098.75,21883.0,within_value,3,0,0,1,2,10,1,0,4,5
2025-06-19,22065.5,21958.5,22050.0,22023.5,21828.0,21741.0,21677.5,63.5,21717.5,21704.25,21742.0,21676.5,below_value,3,1,0,1,1,1,0,0,0,1
2025-06-20,22065.5,21958.5,22050.0,,,21967.0,21775.75,191.25,21936.25,21877.5,21967.0,21760.0,below_value,3,0,0,1,2,3,0,0,1,2
2025-06-22,21898.0,21813.5,21857.75,21934.25,21744.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-23,,,,22337.25,22245.25,22018.0,21944.75,73.25,21984.75,22072.0,22093.0,21738.5,unknown,3,1,0,1,1,4,1,0,1,2
2025-06-24,22093.0,21910.75,22047.0,22548.25,22442.0,22373.5,22300.0,73.5,22308.0,22409.5,22447.75,22300.0,above_value,1,0,0,0,1,6,1,0,2,3
2025-06-25,22436.0,22368.25,22417.5,22575.0,22511.5,22524.5,22444.75,79.75,22488.5,22472.75,22524.5,22388.25,above_value,3,0,0,1,2,11,0,0,5,6
2025-06-26,22463.0,22415.5,22436.5,22767.0,22677.0,22613.25,22557.0,56.25,22569.0,22672.75,22692.75,22549.75,above_value,3,1,0,1,1,4,1,0,1,2
2025-06-27,22686.5,22599.25,22665.5,,,22814.5,22746.0,68.5,22783.25,22743.25,22820.0,22600.0,above_value,1,0,0,0,1,6,1,0,2,3
2025-06-29,22814.5,22697.0,22786.0,22871.5,22801.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-30,,,,22847.5,22782.25,22844.75,22801.25,43.5,22842.0,22865.75,22934.0,22780.0,unknown,1,0,0,0,1,10,1,0,4,5
2025-07-01,22866.5,22808.0,22832.75,22745.75,22639.0,22783.5,22593.75,189.75,22767.0,22691.5,22783.5,22593.75,below_value,3,1,0,1,1,1,0,0,0,1
2025-07-02,22744.25,22671.0,22689.0,22969.25,22831.5,22847.75,22772.25,75.5,22790.75,22853.25,22858.75,22772.25,above_value,3,1,0,1,1,2,0,1,0,1
2025-07-03,22841.25,22813.0,22829.0,22997.0,22887.5,23079.5,23034.75,44.75,23060.0,23059.0,23101.25,23028.0,above_value,3,1,0,1,1,3,0,0,1,2
2025-07-04,23078.75,23043.75,23069.0,,,22946.0,22911.0,35.0,22932.25,22904.5,22946.0,22895.5,below_value,3,1,0,1,1,2,0,1,0,1
2025-07-06,22944.0,22922.5,22930.5,22971.0,22921.0,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-07-07,22841.25,22813.0,22829.0,22938.5,22872.5,22939.5,22882.75,56.75,22937.5,22838.0,22962.75,22780.25,within_value,7,1,0,3,3,12,1,0,5,6
2025-07-08,22917.5,22848.25,22858.5,23111.25,22919.25,22942.75,22841.0,101.75,22875.0,22903.5,22962.75,22841.0,within_value,3,0,0,1,2,3,0,0,1,2
2025-07-09,22923.25,22879.5,22901.0,23078.0,22962.75,23049.0,22917.0,132.0,23048.75,23043.25,23060.5,22917.0,above_value,5,0,1,2,2,5,0,0,2,3
